n,neurodesk,local
10,0.0,-0.02511970610489167
10,0.0,-0.016865234331473744
10,0.0,-0.012073518644054274
10,0.0,0.011118101219416837
10,0.0,-0.00650082631598578
10,0.0,-0.027726784230560964
10,0.0,0.005334001191910742
10,0.0,-0.06800058674899856
10,0.0,0.007597980618681777
10,0.0,-0.013821247968921091
10,0.0,-0.07604181222398812
10,0.0,0.017078298089812344
10,0.0,0.09363831381435667
10,0.0,-0.0642331329580968
10,0.0,-0.05982276917649576
10,0.0,0.0025569713735179578
10,0.0,-0.012707822619418024
10,0.0,-0.05976412521972908
10,0.0,0.014102852466089624
10,0.0,0.07943965820267163
10,0.0,-0.010413759133438394
10,0.0,-0.01988900844673902
10,0.0,0.01347187139351895
10,0.0,-0.012963322077859107
10,0.0,-0.0022856481939395323
10,0.0,0.0029505195764751857
10,0.0,0.002211056794968351
10,0.0,-0.0054005629803088595
10,0.0,0.01366444570951924
10,0.0,0.004406138118608939
10,0.0,-0.028595285023528982
10,0.0,-0.031122882423269688
10,-4.754157941014303e-05,-0.004477652886943934
10,-0.0015159971851312348,-0.022003165278405956
10,0.0,0.10987013845171134
10,0.0,0.007774402912887068
10,0.0,0.006545720036794482
10,0.0,-0.025945444992826194
10,0.0,-0.025186820751848096
10,-3.6493114884725286e-05,-0.002190819046086978
10,-0.0011331160559880094,-0.018434025768405693
10,0.0,0.08148523711286854
30,0.0,0.002633666912034094
30,0.0,-0.0052943350992622484
30,0.0,-0.003714933941283527
30,0.0,-0.036114532387525766
30,0.0,0.0020944125892630727
30,0.0,0.013988115451110172
30,0.0,0.021551823181358065
30,0.0,0.007716587035801248
30,0.0,0.00030445753906882533
30,0.0,0.0021099884754785525
30,0.0,0.021062480155828553
30,0.0001356011209521224,-0.022458889733094484
30,0.00016697057724657238,-0.0024003567770824116
30,0.0,-0.03640278711570161
30,0.0,0.006841627063053302
30,0.0,-0.0005917923779155121
30,0.0,0.0007469281910981451
30,0.0,0.008584628106680259
30,0.00010900213544001724,-0.016177495846017492
30,0.0001598391151749444,0.00467255542252476
30,0.0,-0.02219433031218454
30,7.657221311241358e-06,0.012454689780048739
30,-3.201935925345456e-05,-0.00407040107457729
30,0.0,0.027453749004920036
30,0.0,-0.00847878618242507
30,0.0,0.018923405454853742
30,0.0,0.003479623854937053
30,0.0,0.016454133150990785
30,0.0,0.0018971206679516683
30,0.00018854666965600897,-0.005779566578495404
30,0.0,0.009070984120146328
30,0.0,0.003079975366868007
30,9.313114010494651e-05,0.004522798932773139
30,-3.753144969073641e-05,-0.012843216666784785
30,0.0,-0.006004117576773937
30,1.4091389443360303e-06,0.003702165043418415
30,0.00016533651375555403,-0.005411065341770854
30,0.0,0.013301141615911352
30,0.0,0.0006252662115336857
30,8.474603197941577e-05,0.008255685827433912
30,-2.230551721429941e-05,-0.00938905896421588
30,0.0,-0.0040411019910081
50,0.0,0.006196340764330399
50,0.0,-0.002161012623032754
50,0.0,-0.0003963466383819503
50,0.0,-0.023567124007229046
50,0.0,0.008282233793302507
50,0.0,0.0200307252231412
50,0.0,0.02406497154886167
50,2.3061358813636357e-05,-0.002281142699818439
50,0.0,-0.0049886710248750465
50,0.0,0.001087534624789499
50,0.0,-0.004474495862014982
50,-0.0017416608863660699,-0.008977491349662137
50,-0.00040614768665634196,0.016197915357316107
50,0.0,0.0028168865217663708
50,1.855314689436227e-05,-0.0006929440553535837
50,0.0,-0.0048307469800747405
50,0.0,0.0010894078113951045
50,0.0,-0.008981211594021071
50,-0.0014080921533404789,-0.004995317895868268
50,-0.000380567151536948,0.01635009783081902
50,0.0,0.001513841589268039
50,0.0,0.004049541313127736
50,0.0,-0.013008130970313614
50,0.0,0.0021690257799354684
50,0.0,-0.007156332368199875
50,0.0,0.007793158883864448
50,0.0,0.0024879849575806245
50,0.0,0.02219888625191757
50,-5.618955840780426e-06,-0.0028975934368672407
50,0.00010868344289655107,-0.012494387199040669
50,0.0,0.0007961238335670306
50,0.0,-0.01632400851262645
50,-5.216608167379899e-06,0.005234058053864649
50,-0.0007444183684798544,0.008493096909233083
50,0.0002589855235320959,0.0062010145444240106
50,-4.652734530485869e-06,-0.0016366004578438065
50,8.715293722239004e-05,-0.012732420493161922
50,0.0,0.0010299690508184245
50,0.0,-0.014986217470868743
50,-4.667392754453825e-06,0.005383758737557753
50,-0.0006390135015129986,0.007382969641533833
50,0.00012637094643830338,0.0075062710928290866